id,latitude,longitude,text
6.3503575938124595E17,52.583558,1.28069,"Thoughts are a living energy" - be careful how you use them !!!
6.3503576617182822E17,52.877208,1.440915,Unbelievable experience! (@ North Atlantic Ocean) https://t.co/INmlT5zEUn
6.3503578576338944E17,51.713955,0.432276,V fest #vfest #festival #buzzin @ Hylands Park  Chelmsford https://t.co/XghAjMhFmv
6.3503583479898522E17,51.642477,-0.035367,I'm at Ponders End Railway Station (PON) - @nationalrailenq in Ponders End  London https://t.co/KA0xQIrqPf
6.3503593237951283E17,51.612655,-0.76967,Had an epic evening @HandFMarlow. #yummy http://t.co/LSXdtBpAy6
6.3503593870029619E17,51.505149,-0.075585,Took this picture yesterday whilst cruising down the Thames...love my city & home #London #sunset… https://t.co/OzJsSw0txc
6.3503597718287565E17,51.5063,-0.1271,The longest Trends for Friday 21 in London was 26 characters: http://t.co/UPYRHiZBxU #trndnl
6.3503598421269709E17,51.546443,-0.157345,Personally just really hoping @EvanHD on a skateboard is on the @BBCNewsnight to do list next week http://t.co/TtLSZov2Db #newsnight
6.3503600835513139E17,51.552946,-0.016911,Just arrived at @EuroHockey2015 to check the matches and our kit in the FunZone http://t.co/MwyTbUhkSn
6.3503603166703206E17,51.464899,-0.169662,Here’s How Brazil Is Giving Every Citizen Free Mobile Data. Smart: mobile app usage = fewer call centre calls. http://t.co/wEA23jRtL6
6.3503603530351411E17,51.534591,-0.127151,Swing Low  Sweeeeet Chariot... Waiting for our train @EnglandRugby http://t.co/SGXohoO7rZ
6.3503603655340442E17,51.707853,0.432056,V ☀️🎶🍹 @ V Festival  Chelmsford Essex https://t.co/IJ1JJKiwuu
6.350360491111424E17,51.508368,-0.075699,@AmazingPhil if it's cold up there  I'm so jealous
6.3503604997935104E17,52.590361,1.258998,Remember the pendulum of life...what you give out comes back to you ten fold !!
6.3503605013875917E17,51.585615,0.171277,@JessGlynne tour bus outta control with excitement en route 2 #VFestival2015 listening to her #debutalbum #no1 #icrywhenilaugh #essexuready?
6.3503613000247296E17,51.115833,0.581667,🙌🏼 @ Sissinghurst Castle Garden https://t.co/QXpjsKVSUU
