id,latitude,longitude,text
6.6286847849653043E17,51.37944444,0.09944444,Wind 1 km/h ESE. Barometer 1014.8 mb  Falling. Temperature 15.2 °C. Rain today 0.6 mm. Humidity 92%
6.6286851726442906E17,51.4991334,-0.1123079,1+
6.6286892313874022E17,51.507351,-0.127758,Green Thumbed ‘Ghetto’:  City Farming Brought to Brixton https://t.co/ycIebKc3R1 https://t.co/cfIdHzgMmF
6.6286909545345434E17,50.8945,-1.41983,The Vehicle Carrier Hurst Point is sailing into Southampton  (Track: https://t.co/Gq0Pp67mQR) #HurstPoint
6.6286909643496653E17,50.8945,-1.41983,The Vehicle Carrier Hurst Point is mooring #HurstPoint
6.6286911671021568E17,51.5271154,-0.2067165,He says Harry Styles thinks he's got a solo carer but he hasn't all he does is bounce around on stage and I agree that is all he does
6.628691860042752E17,51.5,-0.13,Liii. p. 693. Ducange  Fam. Byzant. p. 195;) for the princess Anne: [76] the allies  and their imagination had been ordered to leave rome
6.6286925442179072E17,51.5,-0.13,in so hasty and separate kingdoms. One of Robert's names was Durand  a durando: poor wit! (Alberic. Monach. in Vit. Isidor. apud Spondanum
6.6286932699579187E17,51.5,-0.13,and Dr. Shaw read an inscription  which styles a dead cock; and condescends to praise. Socrates  though he affected to compare the
6.6286939971247309E17,51.5,-0.13,attributes and character of a slave  devoutly followed the procession;
6.6286954888277197E17,51.50514919,-0.07558474,🏰🌉🏰 Amo ese puente💙🙈 @ Tower Bridge https://t.co/nGVpnfm4YS
6.628695671448617E17,51.55333535,-0.44946501,Ready for a weekend of wedding dresses  wedding planning  markets  long… https://t.co/oCIFqOUcb8
6.6287002935717478E17,51.90227525,-0.65138507,In Your Arms by Nico And Vinz is #nowplaying in Anytime Fitness.
6.6287011152777216E17,51.5271154,-0.2067165,But I really don't want it to be the end of 1D
6.6287011270204211E17,51.5072,-0.1275,#neonlights #fluorescent #popart #andywarhol #trilogy #autoportrait #tattoos @ London  United Kingdom https://t.co/ks52LnOue8
6.6287017098626662E17,51.53163112,-0.12603267,It's that time of the year ❤️ on my way to the airport! Next stop: Lyon for the weekend ✈️ #earlybird… https://t.co/4yaJMdsptV
