id,latitude,longitude,text
6.4481658996826522E17,51.521035,-0.09422,@ioppn_tlg has a stall at the @kclsu 2015 welcome fair! http://t.co/eNzFeKdO1g
6.4481662933179187E17,51.446791,0.111215,@Watforddogs @UKIP @Nigel_Farage There will always be a proportion of people not repesented that seems wrong to me.
6.4481666012637184E17,51.4761,-0.308,#jossstone #syonhouse #Tuskball http://t.co/ADs0Hri9Fx @FlemingPrivate #fun… https://t.co/MCsVTXOah0
6.4481666062122598E17,51.602612,-0.06519,Tottenham 3-1 Qarabag: Son shines as Spurs fight back to claim victory http://t.co/nHbGF2QbFK #COYS
6.448167189515223E17,51.503293,0.04961,I'm at London City Airport (LCY) - @londoncityair in London  Greater London https://t.co/cC9q95sZfA
6.4481672775954022E17,51.42738,-0.34087,Looking for childcare or looking for a nanny job? We can help: http://t.co/DY5gHVsnXc    Follow… https://t.co/v8rSKB4POH
6.4481674596284006E17,51.538706,-0.131942,@UglyKidPep @WestHamWorld A total of 6 passed in the WHOLE GAME!! We played Defender..Striker... No one.. Now we play through midfield
6.4481676448488653E17,51.606354,0.213051,About time I clear a load of pointless shit out of my safe
6.4481681924991386E17,51.521485,-0.123734,I'm at @St_Giles International in London  Greater London https://t.co/kMghIKwjZ3
6.4481682353231872E17,51.520935,-0.072033,First off big up #EVOLUTION because last night was epic  thank you to everyone who came down &… https://t.co/RScqZYBJuL
6.448168311281623E17,51.752225,-0.241137,I'm at University of Hertfordshire - @uniofherts in Hatfield  Hertfordshire https://t.co/CBdfxt1EFH
6.4481684868974182E17,51.510278,-0.130278,OMG 😳 #gigiloveslondon #thegigidiaries @ Leicester Square https://t.co/HoLhBXdzxv
6.4481686991293645E17,51.332222,-0.557778,Temp 13.1°C Wind 1mph Press 1006.7hpa Rising Cloud 1079 ft Rain 0.0mm Humidity 84% #Woking #UKWeather
6.4481687141445222E17,51.582835,-0.099659,First time pushed to do 5 plates was only about 2 weeks ago  yesterday the 10 reps felt comfortable… https://t.co/h9Am4QLIFt
6.448168926585856E17,51.446777,0.111208,@Watforddogs @UKIP @Nigel_Farage Many second places we are still a young party who knows what the future holds.
6.4481689379517645E17,51.505808,-0.118867,The best anniversary presents there are  a fresh deck  wheels and trucks and a trip to southbank!… https://t.co/DNFhgCIlBH
6.4481689561141658E17,51.512291,-0.134975,Textures and colours @jackiejslee @bfc #day1 #lfwss16 #cfealumni @ Brewer Street Carpark https://t.co/LvG5jlI5ya
6.4481689713813094E17,51.868056,0.731111,Wind 0.0 mph W. Barometer 1008.91 mb  Rising. Temperature 16.4 °C. Rain today 0.2 mm. Humidity 78%
6.4481691293804954E17,51.765061,-0.246766,Don't want anyone to look at me today
6.448169250972631E17,51.441974,-0.089551,StockMarketWire FLASH: Berenberg lifts Oxford Instruments to hold from sell  target cut… http://t.co/gw744kPegU http://t.co/GJtVCdlZFY
6.4481693058341274E17,51.441974,-0.089551,StockMarketWire Most Traded Stocks by Value at 11:00 http://t.co/ekSPYbZNFu http://t.co/GJtVCdlZFY
6.4481693623727309E17,51.441974,-0.089551,StockMarketWire Market Movers - Top risers and fallers at 11:00 http://t.co/amgzWnIwwV http://t.co/GJtVCdlZFY
6.448169416143913E17,51.441974,-0.089551,StockMarketWire Market Movers - Top risers and fallers between 10:00 and 11:00 http://t.co/MAycH3Zmpc http://t.co/GJtVCdlZFY
6.4481694678174925E17,51.441974,-0.089551,StockMarketWire UPDATE: Euro/Pound down -0.03% @ 0.7323 http://t.co/zGqo1Brl6Y http://t.co/GJtVCdlZFY
6.4481695191979622E17,51.441974,-0.089551,StockMarketWire FLASH: Exane BNP Paribas cuts Kaz Minerals to underperform from neutral … http://t.co/HCKkvQ4WQl http://t.co/GJtVCdlZFY
6.4481696182686925E17,51.446791,0.111222,@ukipenfield @UKIP @Nigel_Farage Yes.
6.4481697680474112E17,51.527222,-0.271607,@wynnejenilee Genial ahorraré 18€ en mi primer viaje. Muchas gracias.
6.4481698529401242E17,51.379444,0.099444,Wind 0 km/h ---. Barometer 1009.2 mb  Rising slowly. Temperature 16.1 °C. Rain today 0.3 mm. Humidity 76%
6.4481699820824986E17,51.51447,-0.148184,Can't wait to see you @carlyraejepsen 🙏🏼😍 #squad @ HMV https://t.co/73uFEVXpuj
6.4481703587732685E17,51.66825,-0.403025,Koi http://t.co/F0FTJ3Cnla
6.4481704730676838E17,51.50124,-0.430134,Screen Printing was on #PromotThePanda’s agenda yesterday  there was so much to learn from printing… https://t.co/b9lvrGOWz8
6.4481704748292915E17,51.501615,-0.123506,In 2012 with the homies. #tb #londres #bigben @ Big Ben https://t.co/9wccgurmCE
6.4481706282992845E17,51.449541,-0.357699,Shiny new station finished in the nick of time (@ Whitton Railway Station (WTN) - @nationalrailenq in Whitton) https://t.co/Sg1FoB1s1N
6.4481707453192602E17,51.500152,-0.126236,Want to work at Medpace? We're #hiring in #London! Click for details: http://t.co/0Cb0EIrvDc #GeneralScience #Job #Jobs #CareerArc
6.4481708409083904E17,51.416667,-0.033333,2 Days to #SpartanRace #friyay #happyfridayeveryone   FRIYAY!  #stretchday #restday #travel… https://t.co/Xu1bKxsc7T
6.4481709410686976E17,51.48193,-0.270714,A little pre World Cup noodle on the fretless @englandrugby #bass #lakland #rwc2015 #london #fretless… https://t.co/5ZSg5hLHdg
6.4481709615787213E17,51.501835,-0.162413,🎉🍸  @uliweber1 and his gorgeous spread in #TiradeMagazine at last nights Tirade #LFW and Issue 6… https://t.co/XB308NvexD
6.4481710600611021E17,51.496707,-0.172345,Robin Day's Works in Wood  presented on a "forest" of plinths by Assemble @v_and_a #LDF15 @ Victoria… https://t.co/Qm3tM0H6yj
6.4481713488389325E17,51.514568,-0.133289,We are live at the ghd S&M studio. Hair appointments available now @ ghd Studio Dean Street Soho https://t.co/dV4l5Hev9f
6.4481714911094374E17,51.6331,0.0094,#Chingford 11:10 to #LiverpoolStreet  delayed. http://t.co/dGU7qqfd2w
6.4481715831747379E17,51.546371,-0.217108,@WellbeingofWmen super excited about the upcoming event  check out our hero pieces from @jimmychoo on the blog today http://t.co/RUDVJ1nHpV
6.4481716507444019E17,51.49622,-0.175856,made the best out of London yesterday as come next week we're going to be 273 miles apart😪 @ Natural… https://t.co/3QsAKORbsO
6.4481725545752986E17,51.446788,0.111215,@Watforddogs @UKIP @Nigel_Farage Don't you think that act was a bit silly?
6.4481726289403494E17,51.546422,-0.217088,@WellbeingofWmen and @jimmychoo on the blog http://t.co/htAqs8cauU http://t.co/HAlVZ1xXx3
6.4481728622271283E17,51.668233,-0.403171,... MILLIONS of them http://t.co/UNsTDTddaD
6.4481732848877568E17,51.538884,-0.131879,@UglyKidPep @WestHamWorld And we are playing alot of counter attacking football using what we have in the team.. Pace and power
6.4481736069677466E17,51.510241,-0.13255,CCTV Selfie with @_rachelhegerty @ T.G.I Friday's - Leicester Square  London https://t.co/oWl3H8HfvM
6.448173719124009E17,51.523211,-0.167615,Love the flowing prints at the J.JS Lee Catwalk Show! #LFW15  #LFWLive
6.448174281999319E17,51.446789,0.111215,@Watforddogs @UKIP @Nigel_Farage It needs to change that's for sure.
6.4481748679004979E17,51.23536,-0.57427,#Weather Sunday: Light Cloud  Maximum Temperature: 17°C (63°F) Minimum Temperature: 11°C (52°F)  #Surrey
6.4481748897529856E17,51.23536,-0.57427,#Weather Saturday: Sunny Intervals  Maximum Temperature: 17°C (63°F) Minimum Temperature: 9°C (48°F)  #Surrey
6.4481750363437466E17,51.50539,-0.107397,Ariana Grande Impersonates Britney Spears and Christina Aguilera http://t.co/Dzf2dTDWdv http://t.co/DaFS7uMRnS
6.4481751055928525E17,51.451476,0.051773,Sorry  last one...promise @charliecoo18 @ Eltham https://t.co/p9DP8UXnNa
6.4481752857379635E17,51.206749,-0.163132,Just been sent a restaurant's Christmas menu promo. Lovely. All together now: jingle bells  jingle bells....
6.4481755248960307E17,51.507351,-0.127758,#FollowFriday http://t.co/5ejrrpgUj0
6.4481758071309926E17,51.467586,-0.361799,See our latest #Hounslow #job and click to apply: Full-Time Food & Beverage Assistant - Hilton London Heathrow... - http://t.co/VPrFvYGEeP
6.4481760307303629E17,51.456111,-0.341667,I'm already getting excited here in the Twickenham press centre!#RWC2015 #ENGvFIJ #carrythemhome @… https://t.co/hfdJIbslEr
6.4481760310663168E17,51.512291,-0.134975,And so the negative space nail art continues @jackiejslee little dots were made with a clever dotter… https://t.co/OX0VmWeLhV
6.4481763076384358E17,51.51223,-0.13417,Nice chatting with Jake Hold @jakehofficial (shown above in an image from his recent… https://t.co/0YAgoD6DrB
6.4481767452292301E17,51.509347,-0.595448,Want to work at Oracle? We're #hiring in #Slough! Click for details: http://t.co/3Tzmo7sXsV #Sales #Job #Jobs #CareerArc
6.448176759784407E17,51.492775,-0.265763,Healthy breakfast #smoothie #chiswick #wildbunch @ Wild Bunch Juicery https://t.co/oIC5xVSzLG
6.4481767916612403E17,51.528893,-0.656225,I just finished running 7.89 km in 40m:04s with #Endomondo #endorphins http://t.co/W6ZnadrS3z
